"worksheet","source_row","source_pair","field_name","field_type","acrobat_field_type","field_group","description","is_duplicate","occurrences"
"שדות","362","1","txtBankPostalCode","text","Text Field","banking_and_payment","מיקוד- בנק","False","1"
"שדות","266","2","txtBankSignatureDate","text","Text Field","banking_and_payment","תאריך חתימת בנק","False","1"
"שדות","368","2","txtBankStreet","text","Text Field","banking_and_payment","רחוב - בנק","False","1"
"שדות","78","2","txtBillingAmountCeiling","text","Text Field","banking_and_payment","תקרת סכום חיוב","True","2"
"שדות","406","1","txtBillingAmountCeiling","text","Text Field","banking_and_payment","סכום חיוב","True","2"
"שדות","405","1","txtBillingAmountCeilingAndDate","text","Text Field","banking_and_payment","סכום חיוב ומועדו","False","1"
"שדות","51","2","txtBranchAndAccountNumber","text","Text Field","banking_and_payment","מספר סניף וחשבון","False","1"
"שדות","598","2","txtBranchKupatHolim","text","Text Field","banking_and_payment","סניף קופת חולים","False","1"
"שדות","498","2","txtChangingBankDetails","text","Text Field","banking_and_payment","שינוי פרטי חשבון בנק","False","1"
"שדות","868","1","txtCodeSwift","text","Text Field","banking_and_payment","קוד סוויפט","False","1"
"שדות","207","2","txtCreditCardName","text","Text Field","banking_and_payment","שם בעל כרטיס האשראי","False","1"
"שדות","205","2","txtCreditCardNumber","text","Text Field","banking_and_payment","מספר כרטיס אשראי","False","1"
"שדות","206","2","txtCreditCardValidity","text","Text Field","banking_and_payment","תוקף כרטיס אשראי","False","1"
"שדות","401","2","txtDueForbilling_1","text","Text Field","banking_and_payment","מועד לחיוב ב1- הפקדה שוטפת","False","1"
"שדות","402","2","txtDueForbilling_10","text","Text Field","banking_and_payment","מועד לחיוב ב10- הפקדה שוטפת","False","1"
"שדות","404","1","txtDueForbilling_15","text","Text Field","banking_and_payment","מועד לחיוב 15","True","2"
"שדות","404","2","txtDueForbilling_15","text","Text Field","banking_and_payment","מועד לחיוב ב15- הפקדה שוטפת","True","2"
"שדות","403","2","txtDueForbilling_5","text","Text Field","banking_and_payment","מועד לחיוב ב5- הפקדה שוטפת","False","1"
"שדות","409","2","txtDueForbilling_D","text","Text Field","banking_and_payment","מועד  לחיוב יום","True","2"
"שדות","411","2","txtDueForbilling_D","text","Text Field","banking_and_payment","מועד לחיוב-יום","True","2"
"שדות","411","1","txtDueForbilling_M","text","Text Field","banking_and_payment","מועד לחיוב-חודש","False","1"
"שדות","412","1","txtDueForbilling_Y","text","Text Field","banking_and_payment","מועד לחיוב-שנה","False","1"
"שדות","405","2","txtDueForbillingonetime_1","text","Text Field","banking_and_payment","מועד לחיוב ב1- הפקדה חד פעמית","False","1"
"שדות","406","2","txtDueForbillingonetime_10","text","Text Field","banking_and_payment","מועד לחיוב ב10- הפקדה חד פעמית","False","1"
"שדות","408","2","txtDueForbillingonetime_15","text","Text Field","banking_and_payment","מועד לחיוב ב15- הפקדה חד פעמית","False","1"
"שדות","407","2","txtDueForbillingonetime_5","text","Text Field","banking_and_payment","מועד לחיוב ב5- הפקדה חד פעמית","False","1"
"שדות","410","1","txtfAccountOwnerCity","text","Text Field","banking_and_payment","יישוב בעל החשבון","False","1"
"שדות","409","1","txtfAccountOwnerStreet","text","Text Field","banking_and_payment","רחוב בעל החשבון","False","1"
"שדות","193","2","txtFirstBillingDate","text","Text Field","banking_and_payment","מועד חיוב ראשון","False","1"
"שדות","374","2","txtFirstNameOfAccountOwner","text","Text Field","banking_and_payment","שם פרטי בעלי החשבון","False","1"
"שדות","410","2","txtIdOfAccountOwner","text","Text Field","banking_and_payment","תעודת זהות בעל החשבון","False","1"
"שדות","194","2","txtLastBillingDate","text","Text Field","banking_and_payment","מועד חיוב אחרון","False","1"
"שדות","375","2","txtLastNameOfAccountOwner","text","Text Field","banking_and_payment","שם משפחה בעלי החשבון","False","1"
"שדות","287","1","txtMekabelAccountNumber","text","Text Field","banking_and_payment","מספר פוליסה של הקופה המעבירה","False","1"
"שדות","847","1","txtMevakeshAttractMyAccount","text","Text Field","banking_and_payment","לבקש למשוך את את הכספים שנצברו בחשבוני","False","1"
"שדות","579","1","txtMislakaBank","text","Text Field","banking_and_payment","קוד מסלקה בנק","False","1"
"שדות","580","1","txtMislakaBranch","text","Text Field","banking_and_payment","קוד מסלקה סניף","False","1"
"שדות","397","1","txtMoneyTransferAccountNumber","text","Text Field","banking_and_payment","מספר חשבון להעברת כספים","False","1"
"שדות","286","1","txtMovingAccountNumber","text","Text Field","banking_and_payment","מספר חשבון של הקופה המעבירה","True","2"
"שדות","328","1","txtMovingAccountNumber","text","Text Field","banking_and_payment","מסלול מעביר,  אם יש יותר מאחד להשתמש בDUPLICATED 2 ומעלה","True","2"
"שדות","871","1","txtMutavBankAccount","text","Text Field","banking_and_payment","מספר חשבון בנק מוטב","False","1"
"שדות","867","1","txtMutavBankAdress","text","Text Field","banking_and_payment","כתובת בנק מוטב","False","1"
"שדות","870","1","txtMutavBankBranch","text","Text Field","banking_and_payment","מספר סניף מוטב","False","1"
"שדות","882","1","txtMutavBankBranchNameAndNumber","text","Text Field","banking_and_payment","שם ומספר בנק מוטב","False","1"
"שדות","866","1","txtMutavBankName","text","Text Field","banking_and_payment","שם בנק מוטב","False","1"
"שדות","869","1","txtMutavBankNumber","text","Text Field","banking_and_payment","מספר בנק מוטב","False","1"
"שדות","584","1","txtNameHeshbonBank","text","Text Field","banking_and_payment","שם בעלי החשבון","False","1"
"שדות","350","1","txtNameOfAccountOwner","text","Text Field","banking_and_payment","שם בעל החשבון","False","1"
"שדות","736","1","txtNumberAccount","text","Text Field","banking_and_payment","מספר חשבון הלקוח","False","1"
"שדות","54","2","txtOwnerAccountID","text","Text Field","banking_and_payment","תעודת זהות בעל החשבון","False","1"
"שדות","53","2","txtOwnerAccountNumber","text","Text Field","banking_and_payment","מספר טלפון בעל החשבון","False","1"
"שדות","356","1","txtPersonBankAccount","text","Text Field","banking_and_payment","מספר חשבון בנק","False","1"
"שדות","357","1","txtPersonBankAccountType","text","Text Field","banking_and_payment","סוג חשבון","False","1"
"שדות","354","1","txtPersonBankBranch","text","Text Field","banking_and_payment","מספר סניף בנק","False","1"
"שדות","355","1","txtPersonBankBranchName","text","Text Field","banking_and_payment","שם סניף בנק","False","1"
"שדות","352","1","txtPersonBankName","text","Text Field","banking_and_payment","שם בנק","False","1"
"שדות","351","1","txtPersonBankNameAndNumber","text","Text Field","banking_and_payment","שם ומספר בנק","False","1"
"שדות","353","1","txtPersonBankNumber","text","Text Field","banking_and_payment","מספר בנק","False","1"
"שדות","363","1","txtPersonFullBankAccount","text","Text Field","banking_and_payment","מספר חשבון מלא כולל סניף ובנק","False","1"
"שדות","378","2","txtSigntureDateOfAccountOwner","text","Text Field","banking_and_payment","תאריך חתימת בעל חשבון","False","1"
"שדות","649","2","chkAttractionByBeneficiaryHeir","checkbox","Check Box","beneficiaries_or_family","משיכה על ידי מוטב/יורש","False","1"
"שדות","267","1","chkBeneficiariesInEqualParts","checkbox","Check Box","beneficiaries_or_family","שאר המוטבים בחלקים שווים","False","1"
"שדות","268","1","chkBeneficiariesOfTheirRelativeShare","checkbox","Check Box","beneficiaries_or_family","מוטבים באופן יחסי לחלקם","False","1"
"שדות","281","1","chkBeneficiaryChildren","checkbox","Check Box","beneficiaries_or_family","צאצאי המוטב","False","1"
"שדות","250","2","chkBePaidToMyHeirsAccordingToLaw","checkbox","Check Box","beneficiaries_or_family","ישולמו ליורשי על פי דין","False","1"
"שדות","752","2","chkBetterInCaseFamilyMemberDies","checkbox","Check Box","beneficiaries_or_family","מוטב קרוב משפחה","False","1"
"שדות","753","2","chkBetterInCaseNotFamilyMemberDies","checkbox","Check Box","beneficiaries_or_family","מוטב לא קרוב משפחה","False","1"
"שדות","743","2","chkBetterInCaseOfDeathRelative","checkbox","Check Box","beneficiaries_or_family","מוטב למקרה פטירה קרוב משפחה","False","1"
"שדות","744","2","chkBetterNotInCaseOfDeathRelative","checkbox","Check Box","beneficiaries_or_family","לא קרוב משפחה","False","1"
"שדות","607","1","chkCommitsToGivingTheBeneficiaryDetails","checkbox","Check Box","beneficiaries_or_family","מתחייב למסור את פרטי הנהנה מיד עם היוודע זהותו","False","1"
"שדות","606","2","chkExistentBeneficiariesInAccount","checkbox","Check Box","beneficiaries_or_family","קיימים נהנים בחשבון","False","1"
"שדות","152","2","chkFamilyMember","checkbox","Check Box","beneficiaries_or_family","בן משפחה - סימון(מיועד למוטבים)","False","1"
"שדות","20","2","chkFamilyMemberFemale","checkbox","Check Box","beneficiaries_or_family","בן משפחה נקבה","False","1"
"שדות","23","2","chkFamilyMemberKinship","checkbox","Check Box","beneficiaries_or_family","קרבת משפחה - סימון","False","1"
"שדות","19","2","chkFamilyMemberMale","checkbox","Check Box","beneficiaries_or_family","בן משפחה זכר","False","1"
"שדות","28","2","chkFamilyMemberPercentageShare_","checkbox","Check Box","beneficiaries_or_family","חלק ב-%-צ'ק","False","1"
"שדות","442","2","chkMevakeshMotav","checkbox","Check Box","beneficiaries_or_family","מבקש הבקשה מוטב","True","2"
"שדות","771","2","chkMevakeshMotav","checkbox","Check Box","beneficiaries_or_family","מוטב","True","2"
"שדות","379","2","chkMotav","checkbox","Check Box","beneficiaries_or_family","מוטב","False","1"
"שדות","607","2","chkNonExistentBeneficiariesInAccount","checkbox","Check Box","beneficiaries_or_family","לא קיימים נהנים בחשבון","False","1"
"שדות","822","1","chkPersonMaslulBituah_100Shairim","checkbox","Check Box","beneficiaries_or_family","מסלול 100% לשאירים מעל 47","False","1"
"שדות","823","1","chkPersonMaslulBituah_100Shairim_RetireAge60","checkbox","Check Box","beneficiaries_or_family","גיל פרישה 60","False","1"
"שדות","824","1","chkPersonMaslulBituah_100Shairim_RetireAge62","checkbox","Check Box","beneficiaries_or_family","גיל פרישה 62","False","1"
"שדות","825","1","chkPersonMaslulBituah_100Shairim_RetireAge64","checkbox","Check Box","beneficiaries_or_family","גיל פרישה 64","False","1"
"שדות","826","1","chkPersonMaslulBituah_100Shairim_RetireAge67","checkbox","Check Box","beneficiaries_or_family","גיל פרישה 67","False","1"
"שדות","807","1","chkPersonMaslulBituah_375NecutAnd100Shairim45","checkbox","Check Box","beneficiaries_or_family","מסלול ביטוח 37.5% נכות  100% שאירים מעל 45 (פנסיה)","False","1"
"שדות","808","1","chkPersonMaslulBituah_375NecutAnd100Shairim45_RetireAge60","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 60","False","1"
"שדות","809","1","chkPersonMaslulBituah_375NecutAnd100Shairim45_RetireAge62","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 62","False","1"
"שדות","810","1","chkPersonMaslulBituah_375NecutAnd100Shairim45_RetireAge64","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 64","False","1"
"שדות","811","1","chkPersonMaslulBituah_375NecutAnd100Shairim45_RetireAge67","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 67","False","1"
"שדות","812","1","chkPersonMaslulBituah_375NecutAnd40Shairim","checkbox","Check Box","beneficiaries_or_family","מסלול ביטוח 37.5% נכות  40% שאירים  (פנסיה)","False","1"
"שדות","813","1","chkPersonMaslulBituah_375NecutAnd40Shairim_RetireAge60","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 60","False","1"
"שדות","814","1","chkPersonMaslulBituah_375NecutAnd40Shairim_RetireAge62","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 62","False","1"
"שדות","815","1","chkPersonMaslulBituah_375NecutAnd40Shairim_RetireAge64","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 64","False","1"
"שדות","816","1","chkPersonMaslulBituah_375NecutAnd40Shairim_RetireAge67","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 67","False","1"
"שדות","819","1","chkPersonMaslulBituah_375NecutAnd60Shairim","checkbox","Check Box","beneficiaries_or_family","מסלול ביטוח 37.5% נכות  60% שאירים  (פנסיה)","False","1"
"שדות","797","1","chkPersonMaslulBituah_75Necut41And100Shairim41","checkbox","Check Box","beneficiaries_or_family","מסלול ביטוח 75% נכות מעל 41 100% שאירים מעל 41(פנסיה)","False","1"
"שדות","798","1","chkPersonMaslulBituah_75Necut41And100Shairim41_RetireAge60","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 60","False","1"
"שדות","799","1","chkPersonMaslulBituah_75Necut41And100Shairim41_RetireAge62","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 62","False","1"
"שדות","800","1","chkPersonMaslulBituah_75Necut41And100Shairim41_RetireAge64","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 64","False","1"
"שדות","801","1","chkPersonMaslulBituah_75Necut41And100Shairim41_RetireAge67","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 67","False","1"
"שדות","792","1","chkPersonMaslulBituah_75Necut41And100Shairim47","checkbox","Check Box","beneficiaries_or_family","מסלול ביטוח 75% נכות מעל 41 100% שאירים מעל 47(פנסיה)","False","1"
"שדות","793","1","chkPersonMaslulBituah_75Necut41And100Shairim47_RetireAge60","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 60","False","1"
"שדות","794","1","chkPersonMaslulBituah_75Necut41And100Shairim47_RetireAge62","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 62","False","1"
"שדות","795","1","chkPersonMaslulBituah_75Necut41And100Shairim47_RetireAge64","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 64","False","1"
"שדות","796","1","chkPersonMaslulBituah_75Necut41And100Shairim47_RetireAge67","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 67","False","1"
"שדות","787","1","chkPersonMaslulBituah_75NecutAnd100Shairim41","checkbox","Check Box","beneficiaries_or_family","מסלול ביטוח 75% נכות 100% שאירים מעל 41(פנסיה)","False","1"
"שדות","788","1","chkPersonMaslulBituah_75NecutAnd100Shairim41_RetireAge60","checkbox","Check Box","beneficiaries_or_family","פרישה בגיל 60","False","1"
